호선명,역명,충전설비구분,지상지하구분,설치역층,상세위치,충전설비수,이용요금,운영기관 전화번호
2호선,냉정,휴대폰,지하,1,"(B1) 5,6번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
2호선,주례,휴대폰,지하,1,"(B1) 1,2번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
2호선,감전,휴대폰,지하,1,(B1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,사상,휴대폰,지하,1,"(B1) 미녀와 야수 상가 오른쪽 방향, 무인민원발급기 왼쪽 방향",2,"1,600원(1시간당)",02-454-6666
2호선,덕포,휴대폰,지하,1,(B1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,모덕,휴대폰,지하,1,(B1) 4번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,모라,휴대폰,지하,1,(B1) 2번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,구남,휴대폰,지하,1,(B1) 2번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,구명,휴대폰,지하,1,(B1) 4번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,덕천,휴대폰,지하,1,(B1) CU편의점 맞은편,1,"1,600원(1시간당)",02-454-6666
2호선,수정,휴대폰,지하,1,(B1) 전동휠체어 충전기 오른쪽,1,"1,600원(1시간당)",02-454-6666
2호선,화명,휴대폰,지하,1,(B1) 고객센터 맞은편 방향,1,"1,600원(1시간당)",02-454-6666
2호선,율리,휴대폰,지하,1,(B1) 전동휠체어 충전기 왼쪽,1,"1,600원(1시간당)",02-454-6666
2호선,동원,휴대폰,지하,1,(B1) 고객센터 앞쪽,1,"1,600원(1시간당)",02-454-6666
2호선,금곡,휴대폰,지하,1,(B1) 승차권 발매기 옆,1,"1,600원(1시간당)",02-454-6666
2호선,호포,휴대폰,지상,2,(F2) 승차권 발매기 옆,1,"1,600원(1시간당)",02-454-6666
2호선,증산,휴대폰,지상,1,(F1) 맞이방 내 근처,1,"1,600원(1시간당)",02-454-6666
2호선,부산대양산캠퍼스,휴대폰,지상,2,(F2) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
2호선,남양산,휴대폰,지상,2,(F2) 공중전화기 옆,1,"1,600원(1시간당)",02-454-6666
2호선,양산,휴대폰,지상,2,(F2) ATM기기 옆,1,"1,600원(1시간당)",02-454-6666
3호선,수영,휴대폰,지하,1,"(B1) 물품보관함 옆, 10번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
3호선,망미,휴대폰,지하,1,(B1) 고객센터 맞은편 방향,1,"1,600원(1시간당)",02-454-6666
3호선,배산,휴대폰,지하,1,(B1) 5번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
3호선,물만골,휴대폰,지하,1,(B1) 화폐교환기 옆 ,1,"1,600원(1시간당)",02-454-6666
3호선,연산,휴대폰,지하,1,"(B1) 금은거래소 오른쪽 방향, 표내는 곳 근처",1,"1,600원(1시간당)",02-454-6666
3호선,거제,휴대폰,지하,1,"(B1) 3,5,7번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
3호선,종합운동장,휴대폰,지하,1,(B1) ATM기기 옆,1,"1,600원(1시간당)",02-454-6666
3호선,사직,휴대폰,지하,1,(B1) 3번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
3호선,미남,휴대폰,지하,1,(B1) 고객센터 맞은평 방향,1,"1,600원(1시간당)",02-454-6666
3호선,만덕,휴대폰,지하,1,(B1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
3호선,남산정,휴대폰,지하,1,(B1) 고객센터 맞은평 방향,1,"1,600원(1시간당)",02-454-6666
3호선,숙등,휴대폰,지하,1,(B1) 물품보관함 오른쪽 방향,1,"1,600원(1시간당)",02-454-6666
3호선,덕천,휴대폰,지하,1,(B1) 화장실 들어가는 방향,1,"1,600원(1시간당)",02-454-6666
3호선,구포,휴대폰,지상,2,(F2) 카드보충기 옆,1,"1,600원(1시간당)",02-454-6666
3호선,강서구청,휴대폰,지상,3,(F3) 고객센터 맞은평 기둥 옆,1,"1,600원(1시간당)",02-454-6666
3호선,체육공원,휴대폰,지상,2,(F2) 2층 출입구 방향,1,"1,600원(1시간당)",02-454-6666
3호선,대저,휴대폰,지상,1,(F1) 1층 출입구 방향,1,"1,600원(1시간당)",02-454-6666
4호선,미남,휴대폰,지하,1,(B1) 8번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
4호선,동래,휴대폰,지하,1,"(B1) 4번 출입구 나가는 방향, 화장실 근처",1,"1,600원(1시간당)",02-454-6666
4호선,수안,휴대폰,지하,1,"(B1) 1,3번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
4호선,낙민,휴대폰,지하,1,(B1) 표내는 곳 방향 바로 앞 기둥,1,"1,600원(1시간당)",02-454-6666
4호선,충렬사,휴대폰,지하,1,(B1) 물품보관함 옆,1,"1,600원(1시간당)",02-454-6666
4호선,명장,휴대폰,지하,1,(B1) 표내는 곳 방향 바로 앞 기둥,1,"1,600원(1시간당)",02-454-6666
4호선,서동,휴대폰,지하,1,(B1) 표내는 곳 방향 바로 앞 기둥,1,"1,600원(1시간당)",02-454-6666
4호선,금사,휴대폰,지하,1,(B1) 표내는 곳 방향 바로 앞 기둥,1,"1,600원(1시간당)",02-454-6666
4호선,반여농산물시장,휴대폰,지상,1,(F1) 1번 출입구 방향 고객쉼터 옆,1,"1,600원(1시간당)",02-454-6666
4호선,석대,휴대폰,지상,1,(F1) 1번 출입구 방향,1,"1,600원(1시간당)",02-454-6666
4호선,영산대,휴대폰,지상,2,(F2) 물품보관함 옆,1,"1,600원(1시간당)",02-454-6666
4호선,윗반송,휴대폰,지상,2,(F2) 물품보관함 옆,1,"1,600원(1시간당)",02-454-6666
4호선,고촌,휴대폰,지상,2,"(F2) 1,3번 출입구 방향",1,"1,600원(1시간당)",02-454-6666
4호선,안평,휴대폰,지상,2,(F2) 물품보관함 옆,1,"1,600원(1시간당)",02-454-6666
