호선명,역명,에스컬레이터 관리번호,,근접 출입구번호,시작층(지상/지하),시작층(운행역층),시작층(상세위치),종료층(지상/지하),종료층(운행역층),종료층(상세위치),승강기 상태,승강기형폭,승강기 일련번호
1호선,1서면,2,상행,10번,지하,1,(B1) 10번 출입구 아래,지상,1,(1F) 10번 출입구 위,운행,1200형,8800-013
1호선,1서면,3,상행,,지하,2,(B2) 1호선 승강장 범내골 방향 8-1 출입문 앞,지하,1,(B1) 대합실 서면몰 방향 끝 표 내는 곳,운행,1200형,8800-014
1호선,1서면,4,상행,,지하,2,(B2) 1호선 승강장 부전역 방향 8-1 출입문 앞,지하,1,(B1) 대합실 서면몰 방향 끝 표 내는 곳,운행,1200형,8800-015
1호선,1서면,5,상행,,지하,2,(B2) 1호선 승강장 범내골 방향 5-1 출입문 앞,지하,1,(B1) 대합실층 역무실 옆 표 내는 곳 안,운행,1200형,8800-016
1호선,1서면,6,상행,,지하,2,(B2) 1호선 승강장 부전역 방향 5-1 출입문 앞,지하,1,(B1) 대합실층 역무실 옆 표 내는 곳 안,운행,1200형,8800-017
1호선,1서면,7,상행,,지하,2,(B2) 1호선 승강장 범내골 방향 3-1 출입문 앞,지하,1,(B1) 대합실층 부전몰 뱡향 13번/15번 출구 사이,운행,1200형,8800-018
1호선,1서면,8,상행,,지하,2,(B2) 1호선 승강장 부전역 방향 3-1 출입문 앞,지하,1,(B1) 대합실층 부전몰 뱡향 10번/12번 출구 사이,운행,1200형,8800-019
1호선,1서면,9,상행,,지하,2,(B2) 1호선 승강장 범내골 방향 1-2 출입문 앞,지하,1,(B1) 대합실층 부전몰 뱡향 13번/15번 출구 사이,운행,1200형,8800-020
1호선,1서면,10,상행,,지하,2,(B2) 1호선 승강장 부전역 방향 1-2 출입문 앞,지하,1,(B1) 대합실층 부전몰 뱡향 10번/12번 출구 사이,운행,1200형,8800-021
1호선,범내골,1,상행,5번,지하,1, (B1) 5번 출입구 옆 ,지상,1,(1F) 5번 출입구 옆,운행,1200형,8800-532
1호선,범내골,2,상행,4번,지하,1,(B1) 4번 출입구 옆,지상,1,(1F) 4번 출입구 옆,운행,1200형,8803-583
1호선,부산역,1,상행,,지하,2,(B2) 중앙역 방향 6-2 출입문앞 ,지하,1,"(B1) 표내는곳, 1번/2번/3번/4번 출입구 방향",운행,1200형,8801-239
1호선,부산역,2,상행,,지하,2,(B2) 초량역 방향 6-1 출입문앞 ,지하,1,"(B1) 표내는곳, 1번/2번/3번/4번 출입구 방향",운행,1200형,8803-503
1호선,부산역,3,상행,,지하,2,(B2) 중앙역 방향 3-3 출입문앞,지하,1,"(B1) 표내는곳, 5번/6번/7번 출입구 방향",운행,1200형,8800-832
1호선,부산역,4,상행,,지하,2,(B2) 초량역 방향 3-2 출입문앞 ,지하,1,"(B1) 표내는곳, 5번/6번/7번 출입구 방향",운행,1200형,8800-833
1호선,부산역,5,상행,6번,지하,1,(B1) 6번 출입구 방향,지상,1,(지상 외부) 부산역광장,운행,1200형,8807-077
1호선,부산역,6,하행,6번,지상,1,(지상외부) 6번 출입구,지하,1,(B1) 대합실,운행,1200형,8807-078
1호선,중앙,1,상행,,지하,2,(B2) 남포역 방향 6-1 출입문 앞,지하,1,(B1) 대합실,운행,1200형,8800-834
1호선,중앙,2,상행,,지하,2,(B2) 남포역 방향 2-3 출입문 앞,지하,1,(B1) 대합실,운행,1200형,8800-835
1호선,남포,1,상행,2번,지하,1,(B1) 2번 출입구 방향,지상,1,(1F) 2번 출입구 앞,운행,800형,8803-639
1호선,남포,2,하행,6번,지상,1,(1F) 6번 출입구 앞,지하,1,(B1) 6번 출입구 방향,운행,800형,8803-640
1호선,남포,3,상행,6번,지하,1,(B1) 6번 출입구 방향,지상,1,(1F) 6번 출입구 앞,운행,800형,8803-418
1호선,남포,4,상행,1번/3번,지하,2,(B2) 자갈치역 방향 승강장 6-2 출입문 앞,지하,1,(B1) 표 내는 곳 내 계단 옆. 1번/3번 출입구 방향,운행,1200형,8803-614
1호선,남포,5,상행,2번,지하,2,(B2) 중앙역 방향 승강장 5-2 출입문 앞,지하,1,(B1) 표 내는 곳 내 계단 옆. 2번 출입구 방향,운행,1200형,8804-566
1호선,남포,6,상행,5번,지하,2,(B2) 자갈치역 방향 승강장 3-3 출입문 앞,지하,1,(B1) 표 내는 곳 내 계단 옆. 5번 출입구 방향,운행,1200형,8804-567
1호선,남포,7,상행,4번/6번,지하,2,(B2) 중앙역 방향 승강장 2-3 출입문 앞,지하,1,(B1) 표 내는 곳 내 계단 옆. 4번/6번 출입구 방향,운행,1200형,8806-923
1호선,자갈치,1,상행,10번,지하,1,(B1) 10번 출입구 방향 대합실,지상,1,(F1) 10번 출입구 근처,운행,1200형,8801-115
1호선,자갈치,2,하행,10번,지상,1,(F1) 10번 출입구 근처,지하,1,(B1) 10번 출입구 방향 대합실,운행,1200형,8801-116
1호선,자갈치,3,상행,,지하,2,(B2) 토성역 방향 승강장 6-2 출입문 앞,지하,1,(B1) 3번 출입구 방향,운행,1200형,8803-502
1호선,자갈치,4,상행,,지하,2,(B2) 남포역 방향 승강장 6-1 출입문 앞,지하,1,"(B1) 4,6번 출입구 방향",운행,1200형,8803-637
1호선,자갈치,5,상행,,지하,2,(B2) 토성역 방향 승강장 4-1 출입문 앞,지하,1,"(B1) 5,7번 출입구 방향",운행,1200형,8803-638
1호선,자갈치,6,상행,,지하,2,(B2) 남포역 방향 승강장 3-3 출입문 앞,지하,1,"(B1) 8,10번 출입구 방향",운행,1200형,8801-232
1호선,서대신,1,상행,,지하,2,(B2) 표내는 곳 내 계단 근처,지하,1,"(B1)  표 내는 곳 내 계단 근처, 1번 출입구 방향",운행,1200형,8800-827
1호선,서대신,2,상행,,지하,2,(B2) 표내는 곳 내 고객센터 근처 ,지하,1,"(B1) 표내는 곳 근처, 3번 출입구 방향",운행,1200형,8804-667
1호선,서대신,3,하행,,지하,1,"(B1) 표내는 곳 근처, 3번 출입구 방향",지하,2,(B2) 표내는 곳 내 고객센터 근처,운행,1200형,8800-860
1호선,서대신,4,상행,,지하,4,(B4) 대티역 방향 승강장 6-3 출입문 앞,지하,2,(B2) 표내는 곳 내 계단 근처,운행,1200형,8800-828
1호선,서대신,5,하행,,지하,2,(B2) 표내는 곳 내 계단 근처,지하,4,(B4) 동대신역 방향 승강장 6-3 출입구 옆,운행,1200형,8800-829
1호선,서대신,6,상행,,지하,4,(B4) 대티역 방향 승강장 3-1 출입문 앞,지하,2,(B2) 표내는 곳 내 고객센터 근처,운행,1200형,8800-861
1호선,서대신,7,하행,,지하,2,(B2) 표내는 곳 내 고객센터 근처,지하,4,(B4) 동대신역 방향 승강장 3-1 출입구 옆,운행,1200형,8800-862
1호선,대티,1,하행,,지하,3,(B3) 개찰구 내 4번 계단 옆,지하,5,(B5) 서대신역 방향 6-3 출입문 앞,운행,1200형,8800-830
1호선,대티,2,상행,,지하,5,(B5) 괴정역 방향 6-3 출입문 앞,지하,3,(B3) 개찰구 내 4번 계단 옆,운행,1200형,8800-831
1호선,대티,3,하행,,지하,3,(B3) 개찰구 내 4번 계단 옆,지하,5,(B5) 서대신역 방향 2-3 출입문 앞,운행,1200형,8800-572
1호선,괴정,1,상행,5번,지하,1,(B1) 대합실 괴정전자분소 옆 5번 출입구 방향,지상,1,지상 5번 출입구 앞,운행,800형,8806-831
1호선,괴정,2,하행,5번,지상,1,지상 5번 출입구 앞,지하,1,(B1) 대합실 괴정전자분소 옆 5번 출입구 방향,운행,800형,8806-832
1호선,하단,1,상행,5번,지하,0.5,"(B0.5) 3,5번 출입구 중간계단층",지상,1,5번 출입구 앞,운행,800형,8806-706
1호선,하단,2,하행,5번,지상,1,5번 출입구 앞,지하,0.5,"(B0.5) 3,5번 출입구 중간계단층",운행,800형,8806-707
1호선,동매,1,하행,2번,지상,1,지상 2번 출입구 앞,지하,1,(B1) 대합실 고객센터 근처,운행,800형,8807-874
1호선,동매,2,상행,2번,지하,1,(B1) 대합실 고객센터 근처,지상,1,지상 2번 출입구 앞,운행,800형,8807-875
1호선,동매,3,상행,3번,지상,1,지상 3번 출입구 앞,지하,1,(B1) 대합실 화장실 옆,운행,800형,8806-670
1호선,동매,4,하행,3번,지하,1,(B1) 대합실 화장실 옆,지상,1,지상 3번 출입구 앞,운행,800형,8806-671
1호선,동매,5,상행,4번,지하,1,(B1) 대합실 만남의 광장 근처,지상,1,지상 4번 출입구 앞,운행,800형,8806-672
1호선,동매,6,하행,4번,지상,1,지상 4번 출입구 앞,지하,1,(B1) 대합실 만남의 광장 근처,운행,800형,8806-673
1호선,동매,7,상행,,지하,2,(B2) 장림역 방향 승강장 6-2 출입문 근처,지하,1,(B1) 장림역 방향 표 내는 곳 9번 승강기 뒤쪽,운행,800형,8806-674
1호선,동매,8,상행,,지하,2,(B2) 신평역 방향 승강장 6-2 출입문 근처,지하,1,(B1) 신평역 방향 표 내는곳 10번 승강기 뒤쪽,운행,800형,8806-675
1호선,동매,9,상행,,지하,2,(B2) 장림역 방향 승강장 3-2 출입문 근처,지하,1,(B1) 장림역 방향 표 내는곳 9번 승강기 앞쪽,운행,1200형,8806-676
1호선,동매,10,하행,,지하,1,(B1) 장림역 방향 표 내는곳 9번 승강기 앞쪽,지하,2,(B2) 장림역 방향 승강장 3-2 출입문 근처,운행,800형,8806-677
1호선,동매,11,하행,,지하,2,(B2) 신평역 방향 승강장 3-2 출입문 근처,지하,1,(B1) 신평역 방향 표 내는곳 10번 승강기 앞쪽,운행,1200형,8806-678
1호선,동매,12,상행,,지하,1,(B1) 신평역 방향 표 내는곳 10번 승강기 앞쪽,지하,2,(B2) 신평역 방향 승강장 3-2 출입문 근처,운행,800형,8886-679
1호선,장림,1,상행,1번,지하,1,(B1) 1번 출입구,지상,1,"(1)장림 파출소 맞은편, 장림 삼거리 앞",운행,800형,8806-692
1호선,장림,2,상행,1번,지상,1,"(1F)장림 파출소 맞은편, 장림 삼거리 앞",지하,1,(B1) 1번 출입구,운행,800형,8806-693
1호선,장림,3,하행,3번,지상,1,(1F)제일제당 공장 맞은편,지하,1,(B1) 3번 출입구 근처,운행,800형,8806-694
1호선,장림,4,상행,3번,지하,1,(B1) 3번 출입구 근처,지상,1,(1)제일제당 공장 맞은편,운행,800형,8806-695
1호선,장림,5,하행,5번,지상,1,(1F)하이마트 맞은편,지하,1,(B1)5번 출입구 근처,운행,800형,8806-696
1호선,장림,6,상행,5번,지하,1,(B1)5번 출입구 근처,지상,1,(1)하이마트 맞은편,운행,800형,8806-697
1호선,장림,7,하행,6번,지상,1,(1F)홈플러스 맞은편,지하,1,(B1)6번 출입구 근처,운행,800형,8806-698
1호선,장림,8,상행,6번,지하,1,(B1)6번 출입구 근처,지상,1,(1)홈플러스 맞은편,운행,800형,8806-699
1호선,장림,9,상행,3번,지하,2,(B2)신장림역 방향 6-3 근처,지하,1,(B1)신장림역 방향 표 내는 곳 근처,운행,800형,8806-700
1호선,장림,10,상행,3번,지하,2,(B2)동매역 방향 6-3 근처,지하,1,(B1)동매역 방향 표 내는 곳 근처,운행,800형,8806-701
1호선,장림,11,상행,3번,지하,1,(B1)신장림역 방향 표 내는 곳 근처,지하,2,(B2)신장림역 방향 승강장 3-3 근처,운행,1200형,8806-702
1호선,장림,12,하행,3번,지하,2,(B2)신장림역 방향 승강장 3-3 근처,지하,1,(B1)신장림역 방향 표 내는 곳 근처,운행,1200형,8806-703
1호선,장림,13,상행,3번,지하,2,(B2)동매역 방향 승강장 3-2 근처,지하,1,(B1)동매역 방향 표 내는 곳 근처,운행,1200형,8806-704
1호선,장림,14,하행,3번,지하,1,(B1)동매역 방향 표 내는 곳 근처,지하,2,(B2)동매역 방향 승강장 3-2 근처,운행,1200형,8806-705
1호선,신장림,1,상행,1번,지하,1,(B1) 1번 출입구 방향,지상,1,(1F) 1번 출입구 근처,운행,800형,8806-680
1호선,신장림,2,상행,2번,지하,1,(B1) 2번 출입구 방향,지상,1,(1F) 2번 출입구 근처,운행,1000형,8806-681
1호선,신장림,3,하행,2번,지상,1,(1F) 2번 출입구 근처,지하,1,(B1) 2번 출입구 방향,운행,1000형,8806-682
1호선,신장림,4,상행,3번,지상,1,(1F) 3번 출입구 근처,지하,1,(B1) 3번 출입구 방향,운행,1000형,8806-683
1호선,신장림,5,하행,3번,지하,1,(B1) 3번 출입구 방향,지상,1,(1F) 3번 출입구 근처,운행,1000형,8806-684
1호선,신장림,6,상행,4번,지하,1,(B1) 4번 출입구 방향,지상,1,(1F) 4번 출입구 근처,운행,1200형,8806-685
1호선,신장림,7,하행,,지하,1,(B1) 개찰구 10번대 방향,지하,2,(B2) 낫개역 방향 6-3 출입문 앞,운행,1000형,8806-686
1호선,신장림,8,상행,,지하,2,(B2) 개찰구 10번대 방향,지하,1,(B1) 대합실 개찰구 10번대 앞,운행,1200형,8806-687
1호선,신장림,9,하행,,지하,1,(B1) 개찰구 20번대 방향,지하,2,(B2) 장림역 방향 6-3 출입문 앞,운행,1000형,8806-688
1호선,신장림,10,상행,,지하,2,(B2) 개찰구 20번대 방향,지하,1,(B1) 대합실 개찰구 20번대 앞,운행,1200형,8806-689
1호선,신장림,11,상행,,지하,2,(B2) 개찰구 1번대 방향,지하,1,(B1) 대합실 개찰구 1번대 앞,운행,1200형,8806-690
1호선,신장림,12,상행,,지하,2,(B2) 개찰구 30번대 방향,지하,1,(B1) 대합실 개찰구 30번대 앞,운행,1200형,8806-691
1호선,낫개,1,상행,1번,지하,1,(B1) 1번 출입구 방향 만남의 장소 옆,지상,1,(1F) 1번 출입구 ,운행,800형,8805-183
1호선,낫개,2,하행,1번,지상,1,(1F) 1번 출입구 ,지하,1,(B1) 1번 출입구 방향 만남의 장소 옆,운행,800형,8805-182
1호선,낫개,3,상행,"2,4번",지하,1,(B1) 2번/4번 출입구 방향,지상,1,(1F) 2/4번 출입구,운행,1200형,8805-185
1호선,낫개,4,하행,"2,4번",지상,1,(1F) 2/4번 출입구,지하,1,(B1) 2번/4번 출입구 방향,운행,1200형,8805-184
1호선,낫개,5,상행,6번,지하,1,(B1) 6번 출입구 방향,지상,1,(B1) 6번 출입구 ,운행,800형,8805-186
1호선,낫개,6,하행,,지하,중층,3번 출입구 근처,지하,1,다대포항역 방향 표내는 곳 옆,운행,800형,8805-187
1호선,낫개,7,상행,,지하,1,다대포항역 방향 표내는 곳 옆,지하,중층,3번 출입구 근처,운행,800형,8805-188
1호선,낫개,8,상행,,지하,3,(B3)다대포항역 방향 승강장 8-1 출입문 앞,지하,1,(B1)다대포항역 방향 표내는 곳 내,운행,800형,8805-189
1호선,낫개,9,상행,,지하,3,(B3)신장림역 방향 승강장 7-3 출입문 앞 ,지하,1,(B1)신장림역 방향 표내는 곳 내,운행,800형,8805-190
1호선,낫개,10,상행,,지하,3,(B3)다대포항역 방향 승강장 3-3 출입문 앞,지하,1,(B1)다대포항역 방향 표내는 곳 내,운행,1200형,8805-191
1호선,낫개,11,하행,,지하,1,(B1)다대포항역 방향 표내는 곳 내,지하,3,(B3)다대포항역 방향 승강장 3-3 출입문 앞,운행,800형,8805-192
1호선,낫개,12,상행,,지하,3,(B3)신장림역 방향 승강장 3-2 출입문 앞 ,지하,1,(B1)신장림역 방향 표내는 곳 내,운행,1200형,8805-194
1호선,낫개,13,하행,,지하,1,(B1)신장림역 방향 표내는 곳 내,지하,3,(B3)신장림역 방향 승강장 3-2 출입문 앞 ,운행,800형,8805-193
1호선,다대포항,1,상행,1번,지하,중층,1번 출입구 방향,지상,1,1번 출입구,운행,800형,8806-564
1호선,다대포항,2,하행,1번,지상,1,1번 출입구,지하,중층,1번 출입구 방향,운행,800형,8806-565
1호선,다대포항,3,상행,1번,지하,중층,1번 출입구 방향,지하,1,1번 출입구 방향,운행,1200형,8806-652
1호선,다대포항,4,하행,1번,지하,1,1번 출입구 방향,지하,즁충,1번 출입구 방향,운행,1200형,8806-651
1호선,다대포항,5,상행,2번,지하,1,2번 출입구 방향,지상,1,2번 출입구,운행,800형,8807-910
1호선,다대포항,6,하행,2번,지상,1,2번 출입구 방향,지하,1,2번 출입구,운행,800형,8807-911
1호선,다대포항,7,상행,3번,지하,중층,3번 출입구 방향,지상,1,3번 출입구,운행,1200형,8806-663
1호선,다대포항,8,하행,3번,지상,1,3번 출입구,지하,중층,3번 출입구 방향,운행,1200형,8806-664
1호선,다대포항,9,하행,3번,지하,중층,3번 출입구 방향,지하,1,3번 출입구 방향,운행,1200형,8805-666
1호선,다대포항,10,상행,3번,지하,1,3번 출입구 방향,지하,중층,3번 출입구 방향,운행,1200형,8805-665
1호선,다대포항,11,하행,4번,지하,중층,4번 출입구 방향,지상,1,4번 출입구,운행,1200형,8806-661
1호선,다대포항,12,상행,4번,지상,1,4번 출입구,지하,중층,4번 출입구 방향,운행,1200형,8806-662
1호선,다대포항,13,상행,4번,지하,1,4번 출입구 방향,지하,중층,4번 출입구 방향,운행,1200형,8806-660
1호선,다대포항,14,하행,4번,지하,중층,4번 출입구 방향,지하,1,4번 출입구 방향,운행,1200형,8806-668
1호선,다대포항,15,하행,,지하,중층,4번 출입구 방향,지하,1,4번 출입구 방향,운행,1200형,8806-657
1호선,다대포항,16,상행,,지하,1,4번 출입구 방향,지하,중층,4번 출입구 방향,운행,1200형,8806-658
1호선,다대포항,17,하행,,지하,1,다대포해수욕장역 방향 표내는 곳,지하,2,다대포해수욕장역 방향 6-2 출입문 앞,운행,1200형,8806-653
1호선,다대포항,18,상행,,지하,2,다대포해수욕장역 방향 6-2 출입문 앞,지하,1,다대포해수욕장역 방향 표내는 곳,운행,1200형,8806-654
1호선,다대포항,19,하행,,지하,1,낫개역 방향 표내는 곳,지하,2,낫개역 방향 6-2 출입문 앞,운행,1200형,8806-655
1호선,다대포항,20,상행,,지하,2,낫개역 방향 6-2 출입문 앞,지하,1,낫개역 방향 표내는 곳,운행,1200형,8806-656
1호선,다대포항,21,상행,,지하,2,다대포해수욕장역 방향 3-2 출입문 앞,지하,1,다대포해수욕장역 방향 표내는 곳,운행,1200형,8806-566
1호선,다대포항,22,상행,,지하,2,낫개역 방향 3-2 출입문 앞,지하,1,낫개역 방향 표내는 곳,운행,1200형,8806-659
1호선,"다대포
해수욕장",1,상행,1번,지하,0.5,(B0.5) 1번 출입구 근처,지하,중층,(B중간층) 1번 출입구 방향,운행,800형,8806-551
1호선,"다대포
해수욕장",2,하행,1번,지상,1,(1F) 1번 출입구 근처,지상,1,(1F) 1번 출입구,운행,800형,8806-552
1호선,"다대포
해수욕장",3,상행,"1, 3번",지하,1,"(B1) 1,3번 출입구 근처",지하,1,"(B1) 1,3번 출입구 방향",운행,800형,8806-553
1호선,"다대포
해수욕장",4,상행,2번,지하,1,(B1) 2번 출입구 근처,지하,1,(B1) 2번 출입구 방향,운행,1200형,8806-554
1호선,"다대포
해수욕장",5,하행,2번,지상,1,(1F) 2번 출입구 근처,지상,1,(1F) 2번 출입구,운행,1200형,8806-555
1호선,"다대포
해수욕장",6,상행,4번,지상,1,(1F) 4번 출입구 근처,지상,1,(1F) 4번 출입구,운행,1200형,8806-556
1호선,"다대포
해수욕장",7,하행,4번,지하,1,(B1) 4번 출입구 근처,지하,1,(B1) 4번 출입구 방향,운행,1200형,8806-557
1호선,"다대포
해수욕장",8,상행,"1, 3번",지하,2,"(B2) 20번대 개찰구 근처
해수욕장행 7-1 근처
1, 3번 출입구 근처",지하,2,(B2) 상선 방향 승강장 7-1 출입문 앞,운행,1200형,8806-558
1호선,"다대포
해수욕장",9,상행,2번,지하,1,"(B1) 30번대 개찰구 근처
2번 출입구 근처",지하,1,"(B1) 30번대 표 내는 곳, 4번 엘리베이터 앞",운행,1200형,8806-559
1호선,"다대포
해수욕장",10,상행,"1, 3번",지하,2,"(B2) 해수욕장행 2-3 근처
10번대 개찰구 근처
1, 3번 출입구 근처",지하,2,(B2) 상선 방향 승강장 2-3 출입문 앞,운행,1200형,8806-560
1호선,"다대포
해수욕장",11,하행,"1, 3번",지하,1,"(B1) 10번대 개찰구 근처
1, 3번 출입구 근처",지하,1,(B1) 10번대 표 내는 곳 앞,운행,1200형,8806-561
1호선,"다대포
해수욕장",12,상행,4번,지하,2,"(B2) 다대포항 방면 2-3 근처
1번대 개찰구 근처
4번 출입구 근처",지하,2,(B2) 다대포항역 방향 승강장 2-3 출입문 앞,운행,1200형,8806-562
1호선,"다대포
해수욕장",13,하행,4번,지하,1,"(B1) 1번대 개찰구 근처
4번 출입구 근처",지하,1,(B1) 1번대 표 내는 곳 앞,운행,1200형,8806-563
2호선,양산,1,상행,1번,지상,1,(1F) 1번 출입구 방향,지상,2,(2F) 임대매장 GS25 앞,운행,1200형,8801-457
2호선,양산,2,하행,1번,지상,2,(1F) 1번 출입구 방향,지상,1,(2F) 임대매장 GS25 앞,운행,1200형,8800-971
2호선,양산,3,하행,3번,지상,2,(1F) 3번 출입구 방향,지상,1,(2F) 임대매장 브레드07 앞,운행,1200형,8801-458
2호선,양산,4,상행,3번,지상,1,(1F) 3번 출입구 방향,지상,2,(2F) 임대매장 브레드07 앞,운행,1200형,8801-459
2호선,양산,5,하행,1번,지상,3,(2F) 2층 대합실 10번대 표 내는곳,지상,2,(3F) 남양산역 방향 승강장 3-4 출입문 앞,미운행,1200형,8800-972
2호선,양산,6,상행,1번,지상,2,(2F) 2층 대합실 10번대 표 내는곳,지상,3,(3F) 남양산역 방향 승강장 3-4 출입문 앞,운행,1200형,8800-973
2호선,양산,7,상행,1번,지상,2,(2F) 2층 대합실 20번대 표 내는곳,지상,3,(3F) 신기 방향 승강장 5-4 출입문 앞,미운행,1200형,8800-974
2호선,양산,8,하행,1번,지상,3,(2F) 2층 대합실 20번대 표 내는곳,지상,2,(3F) 신기 방향 승강장 5-4 출입문 앞,운행,1200형,8800-975
2호선,양산,9,상행,3번,지상,2,(2F) 2층 대합실 1번대 표 내는곳,지상,3,(3F) 남양산역 방향 승강장 2-1 출입문 앞,운행,1200형,8800-976
2호선,양산,10,하행,3번,지상,3,(2F) 2층 대합실 1번대 표 내는곳,지상,2,(3F) 남양산역 방향 승강장 2-1 출입문 앞,운행,1200형,8800-977
2호선,양산,11,상행,3번,지상,3,(2F) 2층 대합실 30번대 표 내는곳,지상,2,(3F) 신기 방향 승강장 4-1 츨입문 앞,운행,1200형,8801-460
2호선,양산,12,하행,3번,지상,2,(2F) 2층 대합실 30번대 표 내는곳,지상,3,(3F) 신기 방향 승강장 4-1 출입문 앞,운행,1200형,8801-461
2호선,남양산,1,상행,3번,지상,1,(1F) 3번 출입구 앞,지상,2,(2F) 2층 대합실 3번출입구 방향,운행,1200형,8800-982
2호선,남양산,2,하행,3번,지상,2,(2F) 3번 출입구 방향 2층 대합실 ,지상,1,(1F) 3번 출입구 근처 대합실,운행,1200형,8800-983
2호선,남양산,3,상행,,지상,2,(2F) 2층 대합실 10번대 표 내는 곳,지상,3,(3F) 부산대양산캠퍼스역 방향 6-4 출입문 앞,운행,800형,8800-984
2호선,남양산,4,하행,,지상,3,(3F) 부산대양산캠퍼스역 방향 6-4 출입문 앞 ,지상,2,(2F) 2층 대합실 10번대 표 내는 곳,운행,1200형,8800-985
2호선,남양산,5,상행,,지상,2,(2F) 2층 대합실 1번대 표 내는 곳,지상,3,(3F) 양산역 방향 6-4 출입문 근처,운행,800형,8800-986
2호선,남양산,6,하행,,지상,3,(3F) 양산역 방향 6-4 출입문 근처 ,지상,2,(2F) 2층 대합실 1번대 표 내는 곳,운행,1200형,8800-987
2호선,남양산,7,상행,,지상,2,(2F) 2층 대합실 10번대 표 내는 곳,지상,3,(3F) 부산대양산캠퍼스역 방향 2-3 출입문 앞,운행,800형,8800-988
2호선,남양산,8,하행,,지상,3,(3F) 부산대양산캠퍼스역 방향 2-3 출입문 앞,지상,2,(2F) 2층 대합실 10번대 표 내는 곳,운행,1200형,8800-989
2호선,남양산,9,상행,,지상,2,(2F) 2층 대합실 20번대 표 내는 곳,지상,3,(3F) 양산역 방향 4-3 출입문 앞,운행,800형,8800-990
2호선,남양산,10,하행,,지상,3,(3F) 양산역 방향 4-3 출입문 앞 ,지상,2,(2F) 2층 대합실 20번대 표 내는 곳,운행,1200형,8800-991
2호선,"부산대양산
캠퍼스",1,상행,3번,지상,1,(1F) 표 내는 곳 앞 1번 출입구 방향,지상,2,(2F) 대합실 1번 출입구 방향,운행,1200형,8800-978
2호선,"부산대양산
캠퍼스",2,상행,3번,지상,1,(1F) 남양산역 방향 6-2 출입문 앞,지상,2,(2F) 대합실 1번 출입구 방향 ,운행,1200형,8800-979
2호선,"부산대양산
캠퍼스",3,하행,3번,지상,2,(2F) 대합실 5번 출입구 방향,지상,1,(1F) 표 내는 곳 앞 5번 출입구 방향,운행,1200형,8800-980
2호선,"부산대양산
캠퍼스",4,상행,3번,지상,1,(1F) 남양산역 방향 3-3 출입문 앞,지상,2,(2F) 대합실 5번 출입구 방향,운행,1200형,8800-981
2호선,증산,1,상행,1번,지상,1,(1F) 1번 출입구 근처,지상,2,(2F) 호포역 방향 승강장 6-2 출입문 앞,운행,1200형,8800-992
2호선,증산,2,하행,1번,지상,2,(2F) 호포역 방향 승강장 6-2 출입문 앞,지상,1,(1F) 1번 출입구 근처,운행,1200형,8800-993
2호선,증산,3,하행,1번,지상,1,(1F) 1번 출입구 근처,지상,2,(2F) 부산대양산캠퍼스역 방향 승강장 5-3 출입문 앞,운행,1200형,8800-997
2호선,증산,4,상행,1번,지상,2,(2F) 부산대양산캠퍼스역 방향 승강장 5-3 출입문 앞,지상,1,(1F) 1번 출입구 근처,운행,1200형,8800-996
